Country,PercentResistant,antimicrobial_mg_per_population,prop_antibiotics_sold_without_prescription,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita
Dominica,Empty,139.1235,Empty,16.34721,13.557,6.9,86.43928,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.557,6.9,57.76016,114.9803
Dominica,Empty,139.1235,Empty,16.34721,13.557,6.9,57.76016,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.557,7.0,86.43928,114.9803
Dominica,Empty,139.1235,Empty,16.34721,13.557,7.0,86.43928,112.7708
Dominica,Empty,139.1235,Empty,16.34721,13.557,7.0,57.76016,114.9803
Dominica,Empty,139.1235,Empty,16.34721,13.557,7.0,57.76016,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.55,6.9,86.43928,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.55,6.9,86.43928,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.55,6.9,57.76016,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.55,6.9,57.76016,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.55,7.0,86.43928,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.55,7.0,86.43928,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.55,7.0,57.76016,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.55,7.0,57.76016,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.557,6.9,86.43928,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.557,6.9,86.43928,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.557,6.9,57.76016,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.557,6.9,57.76016,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.557,7.0,86.43928,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.557,7.0,86.43928,112.7708
Dominica,Empty,49.51277,Empty,9.085699,13.557,7.0,57.76016,114.9803
Dominica,Empty,49.51277,Empty,9.085699,13.557,7.0,57.76016,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.55,6.9,86.43928,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.55,6.9,86.43928,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.55,6.9,57.76016,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.55,6.9,57.76016,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.55,7.0,86.43928,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.55,7.0,86.43928,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.55,7.0,57.76016,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.55,7.0,57.76016,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.557,6.9,86.43928,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.557,6.9,86.43928,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.557,6.9,57.76016,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.557,6.9,57.76016,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.557,7.0,86.43928,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.557,7.0,86.43928,112.7708
Dominica,Empty,49.51277,Empty,16.34721,13.557,7.0,57.76016,114.9803
Dominica,Empty,49.51277,Empty,16.34721,13.557,7.0,57.76016,112.7708
Ecuador,Empty,61.98479,Empty,7.877502,14.865,10.5,53.8397,109.2852
Egypt,Empty,14.74742,Empty,4.03087,12.912,26.7,31.88231,52.37174
El Salvador,Empty,45.82882,Empty,8.929018,11.91,23.8,43.30321,238.7529
Eritrea,Empty,25.11639,Empty,Empty,7.319,10.2,Empty,Empty
Estonia,Empty,23.34837,Empty,12.71949,15.943,111.5,67.69321,318.606
Eswatini,Empty,19.69211,Empty,1.656224,14.927,Empty,25.73062,48.15864
Ethiopia,34.28571,22.08885,Empty,0.324725,9.939,9.7,6.474814,30.88821
Faroe Islands,Empty,313.0092,Empty,Empty,Empty,Empty,Empty,Empty
Fiji,Empty,77.76166,Empty,5.895577,13.849,26.8,52.48379,49.77364
Finland,Empty,7.416708,Empty,9.898994,19.229,91.7,71.25287,256.1402
France,Empty,22.00374,Empty,13.37827,15.988,66.6,82.49285,251.0864
French Polynesia,Empty,439.1657,Empty,13.09715,Empty,Empty,105.0612,128.1533
Gabon,Empty,30.53426,Empty,0.805912,12.434,10.7,64.29604,21.9955
Gambia,Empty,20.50713,Empty,3.930987,8.978,11.9,23.95542,22.1798
Georgia,78.36538,82.61754,Empty,10.923,16.727,36.1,39.69576,179.8298
Germany,Empty,36.39595,Empty,15.57616,17.343,88.3,70.71238,208.4488
Ghana,Empty,23.15382,Empty,1.080546,11.586,11.0,17.91485,8.119243
Greece,Empty,78.13855,Empty,9.444979,20.026,68.7,78.71148,231.5167
Greenland,Empty,Empty,Empty,Empty,Empty,47.8,Empty,Empty
Grenada,Empty,220.3327,Empty,20.41533,16.582,6.7,83.22759,135.8376
Guam,Empty,Empty,Empty,Empty,Empty,34.8,Empty,Empty
Guatemala,Empty,60.38946,Empty,12.18729,10.767,22.7,46.03976,46.16974
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,23.6,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.8,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,58.4212,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,58.4212,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,9.7,58.4212,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.7,12.72029,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.7,12.72029,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.7,12.72029,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.7,13.70022,17.96618
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.7,13.70022,17.97028
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.7,13.70022,6.660235
Guinea,Empty,253.9807,Empty,1.962278,10.2,10.7,58.4212,17.96618
